,sites,site_types,neighboring,A_site,initial,final,activ_eng,angles,molecule,vib_list_is,vib_list_fs,vib_list_ts,prox_factor
aCH4_HfC,2.0,tC tC ,1-2,5.34,"['1 * 1', '2 * 1']","['1 CH3* 1', '2 H* 1']",0.953,,CH4,"[383.954482, 383.737942, 383.659228, 369.182086, 187.614125, 187.542434, 159.292724, 159.221648, 159.17586]","[360.983557, 331.434665, 315.526328, 314.835008, 183.500033, 182.199772, 160.754896, 124.831547, 118.797362, 74.315207, 44.5016, 40.345156, 36.464652, 29.778422, 27.910057]","[374.595102, 364.451509, 350.759115, 325.443827, 175.76989, 167.375766, 138.765422, 83.752629, 80.634563, 66.425176, 61.529696, 38.152442, 24.136972, 21.303562]",
aCH4_Pt,2.0,Pt tC ,1-2,26.7,"['1 * 1', '2 * 1']","['1 CH3_Pt* 1', '2 H* 1']",0.033,,CH4,"[383.954482, 383.737942, 383.659228, 369.182086, 187.614125, 187.542434, 159.292724, 159.221648, 159.17586]","[378.039541, 369.416487, 326.951005, 300.866861, 179.395646, 158.359979, 155.780558, 84.854387, 76.912194, 55.556583, 49.963105, 36.999627, 28.113315, 23.099904, 13.72067]","[380.762109, 371.538423, 336.013379, 268.522865, 175.100398, 168.385872, 147.97648, 105.821628, 95.637502, 56.354181, 41.659177, 18.077313, 11.548619, 7.67368]",
aO2_HfC,2.0,tC tC ,1-2,5.34,"['1 * 1', '2 * 1']","['1 O* 1', '2 O* 1']",0.0,,O2,[194.973022],"[79.738187, 77.981497, 40.487926, 39.798116, 38.056578, 37.441762]",[],0.0
aO2_Pt,2.0,Pt tC ,1-2,26.7,"['1 * 1', '2 * 1']","['1 O_Pt* 1', '2 O* 1']",0.0,,O2,[194.973022],"[79.409859, 65.675705, 44.11502, 42.776968, 35.425955, 14.534095]",[],0.0
aCO_HfC,1.0,tC ,,5.34,['1 * 1'],['1 CO* 1'],0.0,,CO,[264.160873],"[240.497465, 82.738219, 60.132962, 60.080258, 7.271753, 6.553359]",[],0.0
aCO_Pt,1.0,Pt ,,26.7,['1 * 1'],['1 CO_Pt* 1'],0.0,,CO,[264.160873],"[247.748017, 59.816271, 55.481162, 55.043799, 6.479152, 5.419204]",[],0.0
aH2_HfC,2.0,tC tC ,1-2,5.34,"['1 * 1', '2 * 1']","['1 H* 1', '2 H* 1']",0.492,,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]","[315.70668, 133.013451, 87.803534, 70.4618, 47.120505]",
aH2w*_Pt,3.0,tC Pt tC,1-2 2-3,26.7,"['1 * 1', '2 * 1', '3 * 1']","['1 H* 1', '2 * 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCH3_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CH3_Pt* 1', '3 * 1']","['1 H* 1', '2 CH3_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCH2_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CH2_Pt* 1', '3 * 1']","['1 H* 1', '2 CH2_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCH_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CH_Pt* 1', '3 * 1']","['1 H* 1', '2 CH_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wC_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 C_Pt* 1', '3 * 1']","['1 H* 1', '2 C_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wO_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 O_Pt* 1', '3 * 1']","['1 H* 1', '2 O_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wOH_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 OH_Pt* 1', '3 * 1']","['1 H* 1', '2 OH_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wH2O_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 H2O_Pt* 1', '3 * 1']","['1 H* 1', '2 H2O_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCO_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CO_Pt* 1', '3 * 1']","['1 H* 1', '2 CO_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCO2_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CO2_Pt* 1', '3 * 1']","['1 H* 1', '2 CO2_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCOOH_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 COOH_Pt* 1', '3 * 1']","['1 H* 1', '2 COOH_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCHO_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CHO_Pt* 1', '3 * 1']","['1 H* 1', '2 CHO_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aCO2_HfC,1.0,tC ,,5.34,['1 * 1'],['1 CO2* 1'],0.0,,CO2,"[294.059036, 163.752147, 78.494148, 78.310738]","[171.188002, 145.668886, 96.963691, 86.25514, 56.201368, 52.375682, 35.933392, 24.342963, 21.024922]",[],0.0
aCO2_Pt,1.0,Pt ,,26.7,['1 * 1'],['1 CO2_Pt* 1'],0.0,,CO2,"[294.059036, 163.752147, 78.494148, 78.310738]","[148.67226, 139.737193, 89.387709, 61.433588, 42.66265, 41.323634, 29.845798, 21.885082, 13.684902]",[],0.0
aH2O_HfC,1.0,tM ,,5.34,['1 * 1'],['1 H2O* 1'],0.0,,H2O,"[475.71323, 461.496763, 195.431904]","[442.585108, 432.855016, 194.149226, 69.221618, 67.853972, 37.997765, 29.472257, 11.770094, 6.477197]",[],0.0
aH2O_Pt,1.0,Pt ,,26.7,['1 * 1'],['1 H2O_Pt* 1'],0.0,,H2O,"[475.71323, 461.496763, 195.431904]","[455.180923, 419.828226, 189.266701, 77.295576, 64.882466, 35.456548, 16.00171, 14.313502, 9.938402]",[],0.0
bCH3_HfC,2.0,tC tC ,1-2,,"['1 CH3* 1', '2 * 1']","['1 CH2* 1', '2 H* 1']",0.879,,,"[359.421378, 321.680368, 321.064556, 183.216741, 181.731495, 160.654479, 123.962331, 118.384931, 73.587316, 42.1679, 28.167318, 25.723497]","[359.703743, 333.7924, 331.138432, 184.692773, 118.580762, 93.394432, 76.321355, 35.439509, 27.748673, 24.40877, 20.80723, 15.927568]","[366.995021, 335.078734, 190.11318, 176.529401, 150.017209, 116.424476, 112.493612, 80.661604, 47.286679, 35.354397, 35.021955]",
bCH3_Pt,2.0,Pt tC ,1-2,,"['1 CH3_Pt* 1', '2 * 1']","['1 CH2_Pt* 1', '2 H* 1']",0.467,,,"[377.944747, 369.409319, 301.749377, 179.18189, 157.879808, 156.532411, 84.905583, 77.117794, 55.196897, 28.047044, 24.170086, 13.773158]","[369.750718, 361.2775, 324.985709, 159.361903, 90.699175, 80.733991, 68.7308, 65.388095, 56.080858, 47.253971, 39.769586, 13.199857]","[376.314878, 368.558835, 251.588514, 167.643993, 119.6976, 110.613768, 75.301647, 68.784198, 44.88874, 43.8997, 15.886066]",
bCH2_HfC,2.0,tC tC ,1-2,,"['1 CH2* 1', '2 * 1']","['1 CH* 1', '2 H* 1']",0.724,,,"[368.845641, 332.796665, 188.661585, 120.760978, 97.198223, 73.241508, 27.327829, 16.335438, 15.73452]","[367.027519, 334.063654, 115.314186, 106.415015, 72.219417, 50.066618, 33.213533, 29.6953, 25.784892]","[376.548272, 168.423818, 139.753025, 116.954058, 99.096489, 68.632844, 53.079819, 37.626974]",
bCH2_Pt,2.0,Pt tC ,1-2,,"['1 CH2_Pt* 1', '2 * 1']","['1 CH_Pt* 1', '2 H* 1']",0.511,,,"[369.76759, 361.357212, 158.707508, 89.238488, 80.687105, 68.584177, 64.74981, 47.561981, 12.702441]","[363.069052, 331.147229, 98.40457, 96.200763, 52.769827, 43.675161, 39.774381, 38.435486, 29.364235]","[373.784618, 238.301738, 125.292127, 94.678588, 69.654254, 60.187611, 43.31878, 38.915735]",
bCH_HfC,2.0,tC tC ,1-2,,"['1 CH* 1', '2 * 1']","['1 C* 1', '2 H* 1']",1.284,,,"[368.342579, 113.307085, 108.253408, 76.532033, 50.858536, 27.826185]","[334.068496, 136.820073, 27.400646, 25.854869, 24.252766, 18.549213]","[187.415623, 114.675446, 95.684353, 48.100024, 45.380634]",
bCH_Pt,2.0,Pt tC ,1-2,,"['1 CH_Pt* 1', '2 * 1']","['1 C_Pt* 1', '2 H* 1']",0.854,,,"[362.743182, 95.754014, 95.654372, 51.827399, 41.030684, 40.914342]","[331.848264, 81.155807, 63.364684, 47.382358, 38.008673, 29.24481]","[158.081136, 71.179338, 63.884964, 43.753498, 18.207519]",
fCO_HfC,2.0,tC tC ,1-2,,"['1 C* 1', '2 O* 1']","['1 CO* 1', '2 * 1']",1.326,,,"[138.064404, 78.64274, 39.644889, 38.175445, 32.997051, 23.89371]","[240.497465, 82.738219, 60.132962, 60.080258, 7.271753, 6.553359]","[129.799624, 55.940895, 41.760039, 33.292377, 20.816034]",
fCO_Pt,2.0,Pt tC ,1-2,,"['1 C_Pt* 1', '2 O* 1']","['1 CO_Pt* 1', '2 * 1']",1.629,,,"[78.785319, 69.101933, 57.893712, 41.793149, 36.309048, 22.80136]","[247.748017, 59.816271, 55.481162, 55.043799, 6.479152, 5.419204]","[72.889917, 63.38752, 53.797673, 47.669045, 26.94636]",
fCHO_HfC,2.0,tC tC ,1-2,,"['1 CH* 1', '2 O* 1']","['1 CHO* 1', '2 * 1']",1.416,,,"[368.594204, 113.642883, 109.454293, 79.006237, 77.093624, 49.436328, 39.492519, 35.990775, 28.229533]","[349.573576, 169.218687, 156.816037, 109.124396, 103.400661, 56.815968, 28.186749, 22.222454, 13.344724]","[381.642141, 112.588222, 86.533195, 79.973517, 55.844267, 42.843029, 35.661316, 23.715027]",
fCHO_Pt,2.0,Pt tC ,1-2,,"['1 CH_Pt* 1', '2 O* 1']","['1 CHO_Pt* 1', '2 * 1']",1.146,,,"[362.522235, 94.958244, 87.037045, 82.229684, 51.33299, 47.241853, 32.487016, 29.448598, 27.595638]","[353.756094, 165.043677, 160.141895, 98.031037, 72.753033, 48.114526, 37.399738, 32.289908, 13.759415]","[367.020412, 94.606509, 80.865425, 63.165663, 61.913966, 58.911118, 42.961784, 40.379998]",
bCHO_HfC,2.0,tC tC ,1-2,,"['1 CHO* 1', '2 * 1']","['1 CO* 1', '2 H* 1']",1.295,,,"[349.573576, 169.218687, 156.816037, 109.124396, 103.400661, 56.815968, 28.186749, 22.222454, 13.344724]","[332.599393, 239.517069, 82.879541, 61.092732, 59.961789, 22.879129, 15.404392, 8.209633, 5.492405]","[202.548598, 153.641605, 135.909983, 80.348147, 53.282278, 18.326771, 12.60026, 10.200928]",
bCHO_Pt,2.0,Pt tC ,1-2,,"['1 CHO_Pt* 1', '2 * 1']","['1 CO_Pt* 1', '2 H* 1']",0.938,,,"[353.756094, 165.043677, 160.141895, 98.031037, 72.753033, 48.114526, 37.399738, 32.289908, 13.759415]","[327.41098, 247.335262, 59.987568, 55.779053, 55.2585, 49.31163, 37.021892, 8.291812, 6.336539]","[271.900269, 197.40173, 125.19527, 51.409762, 45.95151, 32.035342, 17.99132, 9.522561]",
bCO2_HfC,2.0,tC tC ,1-2,,"['1 CO2* 1', '2 * 1']","['1 CO* 1', '2 O* 1']",1.693,,,"[171.188002, 145.668886, 96.963691, 86.25514, 56.201368, 52.375682, 35.933392, 24.342963, 21.024922]","[240.448231, 83.18955, 80.04067, 61.668486, 59.849388, 38.271338, 36.143131, 12.378844, 10.126178]","[217.940927, 81.361728, 66.833494, 56.917831, 50.342099, 37.430358, 19.074043, 12.356398]",
bCO2_Pt,2.0,Pt tC ,1-2,,"['1 CO2_Pt* 1', '2 * 1']","['1 CO_Pt* 1', '2 O* 1']",0.642,,,"[148.67226, 139.737193, 89.387709, 61.433588, 42.66265, 41.323634, 29.845798, 21.885082, 13.684902]","[247.639627, 78.127992, 58.970868, 55.804832, 55.437172, 41.562332, 38.890551, 7.729027, 6.948402]","[233.251868, 71.422327, 52.255472, 46.285187, 36.649698, 33.147068, 21.719529, 5.954987]",
fOH_HfC,3.0,tC tC tM ,1-2 2-3 1-3,,"['1 O* 1', '2 H* 1', '3 * 1']","['1 * 1', '2 * 1', '3 OH* 1']",1.403,,,"[336.912803, 76.735865, 59.146676, 40.30194, 39.731505, 35.335556]","[482.475058, 72.380147, 22.142624, 19.382288, 17.568847, 15.620996]","[188.18796, 105.058703, 58.819434, 39.202453, 31.709068]",
fOHa_Pt,2.0,Pt tC ,1-2,,"['1 O_Pt* 1', '2 H* 1']","['1 OH_Pt* 1', '2 * 1']",1.061,,,"[328.884634, 65.974771, 48.005613, 43.930495, 35.371693, 16.361447]","[459.558335, 89.179555, 74.637811, 50.718691, 28.018933, 16.45305]","[243.229833, 65.519346, 61.53855, 36.378771, 17.497952]",
fOHb_Pt,3.0,Pt tM tC ,1-2 2-3 1-3,,"['1 O_Pt* 1', '2 * 1', '3 H* 1']","['1 * 1', '2 OH* 1', '3 * 1']",0.588,,,"[328.884634, 65.974771, 48.005613, 43.930495, 35.371693, 16.361447]","[482.475058, 72.380147, 22.142624, 19.382288, 17.568847, 15.620996]","[155.866952, 120.736937, 60.778547, 49.432264, 28.535079]",
fH2O_HfC,2.0,tM tC ,1-2,,"['1 OH* 1', '2 H* 1']","['1 H2O* 1', '2 * 1']",0.578,,,"[477.829223, 336.913776, 69.189452, 52.337935, 43.911324, 33.615399, 24.63257, 18.564336, 16.448267]","[442.585108, 432.855016, 194.149226, 69.221618, 67.853972, 37.997765, 29.472257, 11.770094, 6.477197]","[460.785684, 170.507048, 136.049894, 64.057895, 62.720735, 53.157937, 31.284539, 14.244341]",
fH2O_Pt,2.0,Pt tC ,1-2,,"['1 OH_Pt* 1', '2 H* 1']","['1 H2O_Pt* 1', '2 * 1']",1.21,,,"[459.58565, 329.980402, 89.239012, 75.038032, 49.848472, 45.379082, 29.428776, 26.836282, 17.028725]","[455.180923, 419.828226, 189.266701, 77.295576, 64.882466, 35.456548, 16.00171, 14.313502, 9.938402]","[452.251388, 132.537273, 90.181979, 83.470036, 56.011377, 52.824226, 30.099065, 13.705149]",
fCOOH_HfC,2.0,tC tC ,1-2,,"['1 CO2* 1', '2 H* 1']","['1 COOH* 1', '2 * 1']",1.567,,,"[338.174876, 168.465453, 145.378287, 97.643265, 87.95254, 57.502872, 56.121089, 54.056699, 47.0986, 37.306159, 25.291081, 21.019173]","[446.684348, 177.491266, 142.32454, 118.324478, 86.084778, 78.113438, 74.868594, 56.993743, 48.503129, 27.030708, 20.164812, 16.895363]","[186.864567, 168.809228, 153.997071, 125.631918, 93.438088, 85.045266, 59.422041, 55.089677, 40.276547, 33.262161, 21.561651]",
fCOOH_Pt,2.0,Pt tC ,1-2,,"['1 CO2_Pt* 1', '2 H* 1']","['1 COOH_Pt* 1', '2 * 1']",1.673,,,"[329.332148, 147.997534, 140.385923, 89.811349, 61.99496, 45.194473, 42.636802, 41.371967, 31.176297, 30.181113, 22.312092, 13.182606]","[433.965743, 170.316418, 155.620281, 136.428014, 85.047474, 84.081955, 58.202731, 45.445071, 34.822954, 21.474523, 18.859628, 6.419006]","[164.39899, 133.586122, 126.467038, 91.248309, 78.816934, 61.90199, 45.767307, 27.686218, 25.790079, 14.894599, 8.377665]",
bCOOH_HfC,2.0,tC tM ,1-2,,"['1 COOH* 1', '2 * 1']","['1 CO* 1', '2 OH* 1']",0.469,,,"[446.684348, 177.491266, 142.32454, 118.324478, 86.084778, 78.113438, 74.868594, 56.993743, 48.503129, 27.030708, 20.164812, 16.895363]","[481.577049, 239.675048, 83.293662, 73.83935, 60.621388, 58.914363, 31.707386, 23.054014, 21.983663, 16.538313, 14.646414, 7.711341]","[464.214441, 210.454885, 90.274257, 80.095737, 66.649109, 63.763452, 59.013963, 51.09957, 27.845387, 17.118504, 11.172258]",
bCOOH_Pt,2.0,Pt tM ,1-2,,"['1 COOH_Pt* 1', '2 * 1']","['1 CO_Pt* 1', '2 OH* 1']",1.038,,,"[433.965743, 170.316418, 155.620281, 136.428014, 85.047474, 84.081955, 58.202731, 45.445071, 34.822954, 21.474523, 18.859628, 6.419006]","[471.759499, 247.390421, 61.214395, 60.055586, 55.865152, 54.630041, 44.344692, 36.167459, 15.796792, 12.722025, 6.723767, 4.144725]","[431.638256, 198.268218, 147.13451, 107.433259, 75.685559, 72.405285, 26.644433, 24.000857, 13.113793, 9.229224, 3.05917]",
dO_HfC,2.0,tC tC ,1-2,,"['1 O* 1', '2 * 1']","['1 * 1', '2 O* 1']",1.221,,,"[78.662275, 40.796289, 40.348665]","[78.662275, 40.796289, 40.348665]","[56.617104, 49.715199]",
dO_Pt,2.0,Pt tC ,1-2,,"['1 O_Pt* 1', '2 * 1']","['1 * 1', '2 O* 1']",0.509,,,"[65.87063, 44.361909, 17.469979]","[78.662275, 40.796289, 40.348665]","[58.146926, 33.917732]",
dH_HfC,2.0,tC tC ,1-2,,"['1 H* 1', '2 * 1']","['1 * 1', '2 H* 1']",1.179,,,"[329.621887, 33.870073, 31.444725]","[329.621887, 33.870073, 31.444725]","[222.536877, 118.952925]",
dCO_HfC,2.0,tC tC ,1-2,,"['1 CO* 1', '2 * 1']","['1 * 1', '2 CO* 1']",1.156,,,"[240.497465, 82.738219, 60.132962, 60.080258, 7.271753, 6.553359]","[240.497465, 82.738219, 60.132962, 60.080258, 7.271753, 6.553359]","[218.382388, 53.526855, 47.6122, 28.580404, 6.599679]",
dCO_Pt,2.0,Pt tC ,1-2,,"['1 CO_Pt* 1', '2 * 1']","['1 * 1', '2 CO* 1']",1.731,,,"[247.748017, 59.816271, 55.481162, 55.043799, 6.479152, 5.419204]","[240.497465, 82.738219, 60.132962, 60.080258, 7.271753, 6.553359]","[214.949587, 51.245817, 34.520849, 29.260195, 11.576608]",
dOH_HfC,2.0,tM tM ,1-2,,"['1 OH* 1', '2 * 1']","['1 * 1', '2 OH* 1']",0.279,,,"[482.475058, 72.380147, 22.142624, 19.382288, 17.568847, 15.620996]","[482.475058, 72.380147, 22.142624, 19.382288, 17.568847, 15.620996]","[459.984083, 80.308567, 61.861004, 55.865263, 23.312156]",
dOH_Pt,2.0,Pt tM ,1-2,,"['1 OH_Pt* 1', '2 * 1']","['1 * 1', '2 OH* 1']",0.966,,,"[459.558335, 89.179555, 74.637811, 50.718691, 28.018933, 16.45305]","[482.475058, 72.380147, 22.142624, 19.382288, 17.568847, 15.620996]","[454.650124, 66.55581, 49.53706, 42.270241, 22.675755]",
dH2O_HfC,2.0,tM tM ,1-2,,"['1 H2O* 1', '2 * 1']","['1 * 1', '2 H2O* 1']",0.387,,,"[442.585108, 432.855016, 194.149226, 69.221618, 67.853972, 37.997765, 29.472257, 11.770094, 6.477197]","[442.585108, 432.855016, 194.149226, 69.221618, 67.853972, 37.997765, 29.472257, 11.770094, 6.477197]","[464.933713, 408.780743, 193.080589, 73.174065, 47.18383, 21.939348, 16.078245, 4.658224]",
dH2O_Pt,2.0,Pt tM ,1-2,,"['1 H2O_Pt* 1', '2 * 1']","['1 * 1', '2 H2O* 1']",0.519,,,"[455.180923, 419.828226, 189.266701, 77.295576, 64.882466, 35.456548, 16.00171, 14.313502, 9.938402]","[442.585108, 432.855016, 194.149226, 69.221618, 67.853972, 37.997765, 29.472257, 11.770094, 6.477197]","[460.014366, 419.296453, 193.475941, 45.716454, 30.059265, 29.401475, 13.009459, 4.0803]",
dCH3_HfC,2.0,tC tC ,1-2,,"['1 CH3* 1', '2 * 1']","['1 * 1', '2 CH3* 1']",1.267,,,"[359.421378, 321.680368, 321.064556, 183.216741, 181.731495, 160.654479, 123.962331, 118.384931, 73.587316, 42.1679, 28.167318, 25.723497]","[359.421378, 321.680368, 321.064556, 183.216741, 181.731495, 160.654479, 123.962331, 118.384931, 73.587316, 42.1679, 28.167318, 25.723497]","[380.765976, 367.244204, 357.975697, 172.105259, 167.250062, 136.92499, 77.659985, 61.041445, 38.518973, 22.099608, 20.480562]",
dCH3_Pt,2.0,Pt tC ,1-2,,"['1 CH3_Pt* 1', '2 * 1']","['1 * 1', '2 CH3* 1']",2.192,,,"[377.944747, 369.409319, 301.749377, 179.18189, 157.879808, 156.532411, 84.905583, 77.117794, 55.196897, 28.047044, 24.170086, 13.773158]","[359.421378, 321.680368, 321.064556, 183.216741, 181.731495, 160.654479, 123.962331, 118.384931, 73.587316, 42.1679, 28.167318, 25.723497]","[370.563902, 367.035006, 354.716126, 172.152642, 160.48099, 133.726687, 70.84631, 60.333661, 29.096003, 21.903496, 8.433531]",
dCH2_HfC,2.0,tC tC ,1-2,,"['1 CH2* 1', '2 * 1']","['1 * 1', '2 CH2* 1']",1.277,,,"[368.845641, 332.796665, 188.661585, 120.760978, 97.198223, 73.241508, 27.327829, 16.335438, 15.73452]","[368.845641, 332.796665, 188.661585, 120.760978, 97.198223, 73.241508, 27.327829, 16.335438, 15.73452]","[358.286818, 355.389095, 178.076883, 113.981477, 97.525144, 91.816447, 68.673391, 54.873295]",
dCH2_Pt,2.0,Pt tC ,1-2,,"['1 CH2_Pt* 1', '2 * 1']","['1 * 1', '2 CH2* 1']",0.937,,,"[369.76759, 361.357212, 158.707508, 89.238488, 80.687105, 68.584177, 64.74981, 47.561981, 12.702441]","[368.845641, 332.796665, 188.661585, 120.760978, 97.198223, 73.241508, 27.327829, 16.335438, 15.73452]","[376.286552, 358.406617, 163.909697, 86.97473, 82.438575, 73.344732, 66.810225, 19.226247]",
dCH_HfC,2.0,tC tC ,1-2,,"['1 CH* 1', '2 * 1']","['1 * 1', '2 CH* 1']",0.687,,,"[368.342579, 113.307085, 108.253408, 76.532033, 50.858536, 27.826185]","[368.342579, 113.307085, 108.253408, 76.532033, 50.858536, 27.826185]","[383.77102, 107.703869, 105.151803, 63.500665, 39.153168]",
dCH_Pt,2.0,Pt tC ,1-2,,"['1 CH_Pt* 1', '2 * 1']","['1 * 1', '2 CH* 1']",1.426,,,"[362.743182, 95.754014, 95.654372, 51.827399, 41.030684, 40.914342]","[368.342579, 113.307085, 108.253408, 76.532033, 50.858536, 27.826185]","[365.892676, 96.142633, 80.617628, 75.901398, 47.882826]",
dC_HfC,2.0,tC tC ,1-2,,"['1 C* 1', '2 * 1']","['1 * 1', '2 C* 1']",1.449,,,"[138.207451, 24.592242, 17.986572]","[138.207451, 24.592242, 17.986572]","[85.015794, 66.512731]",
dC_Pt,2.0,Pt tC ,1-2,,"['1 C_Pt* 1', '2 * 1']","['1 * 1', '2 C* 1']",2.479,,,"[56.663515, 49.950057, 49.889385]","[138.207451, 24.592242, 17.986572]","[80.756611, 36.919619]",
